 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 22:03:23 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
                               9.296    0.255    0.3561      2.0025  
PIPE_III_next_PC[3]            1.255    0.195    0.1437      0.1091  
PIPE_III_Adder2[5]             1.857    0.195    0.0876      0.0984  
n1                             3.317    0.173    0.0485      0.0973  
RISC_V_add_instruction_memory[6]
                               9.296    0.086    0.0167      0.0939  
Adder_PIPE_III[4]              1.255    0.219    0.1183      0.0898  
IF_next_PC_PIPE_I[5]           3.280    0.180    0.0451      0.0896  
PIPE_III_Adder2[6]             1.857    0.198    0.0770      0.0865  
PIPE_II_current_PC[4]          1.909    0.173    0.0711      0.0821  
PIPE_III_Adder2[7]             1.857    0.194    0.0704      0.0791  
PIPE_IV_ReadData[29]           1.889    0.250    0.0650      0.0743  
PIPE_III_Adder2[8]             1.857    0.198    0.0661      0.0742  
Adder_PIPE_III[5]              1.255    0.217    0.0971      0.0737  
PIPE_II_Immediate[16]          2.045    0.222    0.0595      0.0736  
PIPE_IV_ReadData[19]           1.889    0.249    0.0644      0.0736  
PIPE_IV_ReadData[16]           1.889    0.250    0.0643      0.0735  
PIPE_IV_ReadData[23]           1.889    0.242    0.0643      0.0735  
PIPE_IV_ReadData[20]           1.889    0.240    0.0641      0.0732  
PIPE_IV_ReadData[28]           1.889    0.245    0.0640      0.0731  
PIPE_IV_ReadData[22]           1.889    0.243    0.0637      0.0728  
PIPE_IV_ReadData[4]            1.889    0.244    0.0636      0.0727  
PIPE_IV_ReadData[30]           1.889    0.237    0.0636      0.0726  
PIPE_IV_ReadData[1]            1.889    0.243    0.0635      0.0726  
PIPE_IV_ReadData[12]           1.889    0.242    0.0635      0.0726  
PIPE_IV_ReadData[17]           1.889    0.235    0.0634      0.0725  
PIPE_IV_ReadData[31]           1.889    0.238    0.0634      0.0724  
PIPE_IV_ReadData[27]           1.889    0.239    0.0633      0.0723  
PIPE_IV_ReadData[6]            1.889    0.239    0.0633      0.0723  
PIPE_IV_ReadData[2]            1.889    0.244    0.0632      0.0722  
PIPE_IV_ReadData[8]            1.889    0.254    0.0631      0.0721  
PIPE_IV_ReadData[0]            1.889    0.245    0.0631      0.0721  
PIPE_IV_ReadData[21]           1.889    0.241    0.0631      0.0721  
PIPE_IV_ReadData[24]           1.889    0.233    0.0631      0.0721  
PIPE_IV_ReadData[15]           1.889    0.239    0.0630      0.0720  
PIPE_IV_ReadData[25]           1.889    0.239    0.0630      0.0720  
PIPE_II_Immediate[4]           2.045    0.215    0.0582      0.0720  
PIPE_II_Immediate[2]           2.045    0.213    0.0580      0.0717  
PIPE_IV_ReadData[18]           1.889    0.242    0.0627      0.0717  
PIPE_IV_ReadData[5]            1.889    0.247    0.0627      0.0716  
PIPE_IV_ReadData[11]           1.889    0.240    0.0626      0.0715  
PIPE_IV_ReadData[26]           1.889    0.238    0.0626      0.0715  
PIPE_IV_ReadData[14]           1.889    0.246    0.0622      0.0710  
PIPE_IV_ReadData[7]            1.889    0.250    0.0621      0.0710  
PIPE_IV_ReadData[10]           1.889    0.236    0.0621      0.0710  
PIPE_II_Immediate[22]          2.045    0.211    0.0571      0.0707  
PIPE_II_Immediate[28]          2.045    0.210    0.0570      0.0705  
PIPE_II_Immediate[11]          1.894    0.219    0.0615      0.0704  
PIPE_II_Immediate[15]          2.045    0.219    0.0569      0.0704  
PIPE_IV_ReadData[13]           1.889    0.238    0.0615      0.0703  
PIPE_II_Immediate[17]          2.045    0.221    0.0568      0.0703  
PIPE_IV_ReadData[9]            1.889    0.243    0.0614      0.0702  
PIPE_IV_RegWrite              11.177    0.016    0.0104      0.0702  
PIPE_IV_ReadData[3]            1.889    0.236    0.0611      0.0699  
PIPE_II_Immediate[3]           2.045    0.208    0.0564      0.0698  
PIPE_II_Immediate[13]          2.045    0.227    0.0563      0.0696  
PIPE_III_Adder2[9]             1.857    0.192    0.0618      0.0694  
PIPE_II_Immediate[1]           2.045    0.209    0.0556      0.0688  
PIPE_II_Immediate[8]           1.894    0.222    0.0591      0.0677  
PIPE_III_Adder2[11]            1.857    0.200    0.0601      0.0675  
PIPE_II_Immediate[5]           1.894    0.217    0.0586      0.0672  
PIPE_II_Immediate[14]          1.894    0.221    0.0581      0.0666  
PIPE_II_Immediate[7]           1.894    0.212    0.0581      0.0666  
PIPE_II_Immediate[18]          1.894    0.225    0.0577      0.0661  
PIPE_II_Immediate[30]          1.894    0.211    0.0574      0.0658  
PIPE_I_next_PC[4]              1.255    0.212    0.0866      0.0658  
PIPE_II_Immediate[9]           1.894    0.212    0.0574      0.0657  
PIPE_II_Immediate[24]          1.894    0.210    0.0572      0.0655  
PIPE_II_Immediate[26]          1.894    0.210    0.0572      0.0655  
PIPE_II_Immediate[23]          1.894    0.210    0.0571      0.0654  
PIPE_II_Immediate[20]          1.894    0.211    0.0570      0.0653  
PIPE_II_Immediate[27]          1.894    0.210    0.0570      0.0653  
PIPE_II_Immediate[21]          1.894    0.210    0.0570      0.0653  
PIPE_II_Immediate[25]          1.894    0.210    0.0567      0.0650  
PIPE_II_Immediate[12]          1.894    0.223    0.0562      0.0644  
PIPE_II_Immediate[10]          1.894    0.211    0.0561      0.0643  
Adder_PIPE_III[6]              1.255    0.219    0.0844      0.0641  
PIPE_III_Adder2[10]            1.857    0.189    0.0565      0.0635  
PIPE_II_Immediate[6]           1.894    0.208    0.0552      0.0633  
PIPE_III_Adder2[16]            1.857    0.200    0.0548      0.0616  
PIPE_III_Adder2[18]            1.857    0.201    0.0540      0.0607  
PIPE_III_Adder2[12]            1.857    0.201    0.0536      0.0603  
PIPE_III_Adder2[14]            1.857    0.200    0.0535      0.0601  
PIPE_II_next_PC[4]             1.255    0.191    0.0791      0.0601  
PIPE_III_Adder2[15]            1.857    0.198    0.0532      0.0598  
PIPE_III_Adder2[17]            1.857    0.197    0.0528      0.0593  
Adder_PIPE_III[7]              1.255    0.215    0.0778      0.0591  
PIPE_III_Adder2[20]            1.857    0.189    0.0526      0.0590  
PIPE_III_Adder2[13]            1.857    0.205    0.0523      0.0588  
PIPE_III_Adder2[19]            1.857    0.204    0.0521      0.0586  
PIPE_III_Adder2[29]            1.857    0.188    0.0516      0.0580  
PIPE_III_Adder2[24]            1.857    0.188    0.0516      0.0580  
PIPE_III_Adder2[30]            1.857    0.188    0.0515      0.0578  
PIPE_III_Adder2[26]            1.857    0.188    0.0514      0.0577  
PIPE_III_Adder2[27]            1.857    0.188    0.0512      0.0576  
PIPE_III_Adder2[22]            1.857    0.188    0.0512      0.0576  
PIPE_III_Adder2[28]            1.857    0.188    0.0512      0.0575  
PIPE_III_Adder2[21]            1.857    0.187    0.0512      0.0575  
PIPE_III_Adder2[23]            1.857    0.188    0.0512      0.0575  
PIPE_III_Adder2[25]            1.857    0.188    0.0510      0.0572  
PIPE_III_Adder2[1]             1.857    0.187    0.0506      0.0568  
PIPE_III_Adder2[31]            1.857    0.188    0.0502      0.0564  
Adder_PIPE_III[8]              1.255    0.220    0.0736      0.0558  
PIPE_III_next_PC[4]            1.255    0.173    0.0709      0.0538  
Adder_PIPE_III[9]              1.255    0.213    0.0680      0.0516  
Immediate_PIPE_II[11]          1.255    0.243    0.0676      0.0513  
Adder_PIPE_III[11]             1.255    0.222    0.0660      0.0501  
RD_PIPE_II[4]                  1.255    0.234    0.0660      0.0501  
Funct3_PIPE_II[2]              1.255    0.240    0.0651      0.0494  
RD_PIPE_II[2]                  1.255    0.236    0.0650      0.0493  
Funct3_PIPE_II[1]              1.255    0.247    0.0641      0.0487  
RD_PIPE_II[1]                  1.255    0.245    0.0640      0.0486  
RD_PIPE_II[3]                  1.255    0.248    0.0638      0.0484  
RD_PIPE_II[0]                  1.255    0.234    0.0636      0.0483  
Funct3_PIPE_II[0]              1.255    0.241    0.0628      0.0477  
Adder_PIPE_III[10]             1.255    0.209    0.0627      0.0476  
Adder_PIPE_III[16]             1.255    0.222    0.0611      0.0463  
Adder_PIPE_III[14]             1.255    0.221    0.0601      0.0456  
Adder_PIPE_III[12]             1.255    0.222    0.0595      0.0452  
Adder_PIPE_III[18]             1.255    0.223    0.0593      0.0450  
Adder_PIPE_III[15]             1.255    0.220    0.0588      0.0446  
Adder_PIPE_III[17]             1.255    0.218    0.0586      0.0445  
Adder_PIPE_III[20]             1.255    0.210    0.0586      0.0444  
Adder_PIPE_III[13]             1.255    0.226    0.0585      0.0444  
Adder_PIPE_III[19]             1.255    0.224    0.0577      0.0438  
Adder_PIPE_III[24]             1.255    0.208    0.0575      0.0436  
PIPE_II_Immediate[29]          1.255    0.211    0.0574      0.0436  
